state_canonical,state_code,fy,literacy_rate_person_7plus
Andaman and Nicobar Islands,AN,2019-20,86.8
Andhra Pradesh,AP,2019-20,68.9
Arunachal Pradesh,AR,2019-20,83.7
Assam,AS,2019-20,87.9
Bihar,BR,2019-20,72.3
Chandigarh,CH,2019-20,89
Chhattisgarh,CG,2019-20,78.4
Dadra and Nagar Haveli and Daman and Diu,DN,2019-20,86.90815887391899
Delhi,DL,2019-20,86.9
Goa,GA,2019-20,89.6
Gujarat,GJ,2019-20,84.4
Haryana,HR,2019-20,79.5
Himachal Pradesh,HP,2019-20,86.6
Jammu and Kashmir,JK,2019-20,78.4
Jharkhand,JH,2019-20,72.8
Karnataka,KA,2019-20,81
Kerala,KL,2019-20,94
Ladakh,LA,2019-20,70.5
Lakshadweep,LD,2019-20,95
Madhya Pradesh,MP,2019-20,76.4
Maharashtra,MH,2019-20,84
Manipur,MN,2019-20,88.9
Meghalaya,ML,2019-20,92.7
Mizoram,MZ,2019-20,99.8
Nagaland,NL,2019-20,96.2
Odisha,OR,2019-20,75.7
Puducherry,PY,2019-20,91.5
Punjab,PB,2019-20,80.4
Rajasthan,RJ,2019-20,71.5
Sikkim,SK,2019-20,86.1
Tamil Nadu,TN,2019-20,83.6
Telangana,TG,2019-20,70.5
Tripura,TR,2019-20,92
Uttar Pradesh,UP,2019-20,73.5
Uttarakhand,UK,2019-20,81.2
West Bengal,WB,2019-20,81.2
Andaman and Nicobar Islands,AN,2020-21,90.5
Andhra Pradesh,AP,2020-21,69.8
Arunachal Pradesh,AR,2020-21,85.1
Assam,AS,2020-21,89.4
Bihar,BR,2020-21,74.1
Chandigarh,CH,2020-21,89.9
Chhattisgarh,CG,2020-21,77.5
Dadra and Nagar Haveli and Daman and Diu,DN,2020-21,86.1
Delhi,DL,2020-21,86
Goa,GA,2020-21,92.7
Gujarat,GJ,2020-21,84.7
Haryana,HR,2020-21,81.1
Himachal Pradesh,HP,2020-21,87.5
Jammu and Kashmir,JK,2020-21,80.3
Jharkhand,JH,2020-21,73.1
Karnataka,KA,2020-21,81.2
Kerala,KL,2020-21,94.4
Ladakh,LA,2020-21,79.4
Lakshadweep,LD,2020-21,96.3
Madhya Pradesh,MP,2020-21,75.7
Maharashtra,MH,2020-21,84.7
Manipur,MN,2020-21,90.1
Meghalaya,ML,2020-21,95.3
Mizoram,MZ,2020-21,98.8
Nagaland,NL,2020-21,96.9
Odisha,OR,2020-21,77.2
Puducherry,PY,2020-21,90.6
Punjab,PB,2020-21,82.6
Rajasthan,RJ,2020-21,73
Sikkim,SK,2020-21,88
Tamil Nadu,TN,2020-21,84.7
Telangana,TG,2020-21,73.9
Tripura,TR,2020-21,91.4
Uttar Pradesh,UP,2020-21,73.9
Uttarakhand,UK,2020-21,82.8
West Bengal,WB,2020-21,82.5
Andaman and Nicobar Islands,AN,2022-23,92.8
Andhra Pradesh,AP,2022-23,72
Arunachal Pradesh,AR,2022-23,84.1
Assam,AS,2022-23,77.5
Bihar,BR,2022-23,74.6
Chandigarh,CH,2022-23,92.7
Chhattisgarh,CG,2022-23,78.2
Dadra and Nagar Haveli and Daman and Diu,DN,2022-23,87.4
Delhi,DL,2022-23,88.4
Goa,GA,2022-23,95
Gujarat,GJ,2022-23,85.3
Haryana,HR,2022-23,83.2
Himachal Pradesh,HP,2022-23,88.1
Jammu and Kashmir,JK,2022-23,78.3
Jharkhand,JH,2022-23,79.3
Karnataka,KA,2022-23,80.8
Kerala,KL,2022-23,95
Ladakh,LA,2022-23,78.9
Lakshadweep,LD,2022-23,98.1
Madhya Pradesh,MP,2022-23,76.4
Maharashtra,MH,2022-23,86.9
Manipur,MN,2022-23,90.7
Meghalaya,ML,2022-23,95
Mizoram,MZ,2022-23,99.4
Nagaland,NL,2022-23,95.5
Odisha,OR,2022-23,79.3
Puducherry,PY,2022-23,91.1
Punjab,PB,2022-23,83.3
Rajasthan,RJ,2022-23,73.4
Sikkim,SK,2022-23,87.3
Tamil Nadu,TN,2022-23,86
Telangana,TG,2022-23,79.2
Tripura,TR,2022-23,93.2
Uttar Pradesh,UP,2022-23,76.6
Uttarakhand,UK,2022-23,86
West Bengal,WB,2022-23,82.9
Andaman and Nicobar Islands,AN,2023-24,91.1
Andhra Pradesh,AP,2023-24,72.6
Arunachal Pradesh,AR,2023-24,84.2
Assam,AS,2023-24,87
Bihar,BR,2023-24,74.3
Chandigarh,CH,2023-24,93.7
Chhattisgarh,CG,2023-24,78.5
Dadra and Nagar Haveli and Daman and Diu,DN,2023-24,87.8
Delhi,DL,2023-24,86.9
Goa,GA,2023-24,93.6
Gujarat,GJ,2023-24,84.6
Haryana,HR,2023-24,84.8
Himachal Pradesh,HP,2023-24,88.8
Jammu and Kashmir,JK,2023-24,82
Jharkhand,JH,2023-24,76.7
Karnataka,KA,2023-24,82.7
Kerala,KL,2023-24,95.3
Ladakh,LA,2023-24,81
Lakshadweep,LD,2023-24,97.3
Madhya Pradesh,MP,2023-24,75.2
Maharashtra,MH,2023-24,87.3
Manipur,MN,2023-24,92
Meghalaya,ML,2023-24,94.2
Mizoram,MZ,2023-24,98.2
Nagaland,NL,2023-24,95.7
Odisha,OR,2023-24,79
Puducherry,PY,2023-24,92.7
Punjab,PB,2023-24,83.4
Rajasthan,RJ,2023-24,75.8
Sikkim,SK,2023-24,84.7
Tamil Nadu,TN,2023-24,85.5
Telangana,TG,2023-24,76.9
Tripura,TR,2023-24,93.7
