state_canonical,state_code,year_month,upi_volume_million,upi_value_crore
Andaman and Nicobar Islands,AN,2023-04-01,1.6,334.49
Andhra Pradesh,AP,2023-04-01,279.96,59444.05
Arunachal Pradesh,AR,2023-04-01,6.62,1341.62
Assam,AS,2023-04-01,81.02,14333.08
Bihar,BR,2023-04-01,267.97,48787.79
Chandigarh,CH,2023-04-01,18.64,2531.42
Chhattisgarh,CG,2023-04-01,78.23,11254.99
Dadra and Nagar Haveli and Daman and Diu,DN,2023-04-01,5.67,641.58
Delhi,DL,2023-04-01,330.04,46799.01
Goa,GA,2023-04-01,20.03,2988.02
Gujarat,GJ,2023-04-01,280.81,46154.94
Haryana,HR,2023-04-01,225.35,35256.24
Himachal Pradesh,HP,2023-04-01,34.96,4786.04
Jammu and Kashmir,JK,2023-04-01,28.44,4783.74
Jharkhand,JH,2023-04-01,93.42,14905.34
Karnataka,KA,2023-04-01,772.62,114007.15
Kerala,KL,2023-04-01,201.13,31243.16
Ladakh,LA,2023-04-01,1.39,368.52
Lakshadweep,LD,2023-04-01,0.09,23.34
Madhya Pradesh,MP,2023-04-01,375.53,56076.31
Maharashtra,MH,2023-04-01,1859.79,260344.8
Manipur,MN,2023-04-01,8.19,2155.67
Meghalaya,ML,2023-04-01,4.26,852.3
Mizoram,MZ,2023-04-01,3.25,774.43
Nagaland,NL,2023-04-01,3.64,982.4
Odisha,OR,2023-04-01,184.79,28296.73
Puducherry,PY,2023-04-01,9.52,1432.15
Punjab,PB,2023-04-01,123.33,21576.93
Rajasthan,RJ,2023-04-01,391.83,64347.76
Sikkim,SK,2023-04-01,3.44,660.99
Tamil Nadu,TN,2023-04-01,433.99,73484.77
Telangana,TG,2023-04-01,683.07,121761.16
Tripura,TR,2023-04-01,5.52,993.56
Uttar Pradesh,UP,2023-04-01,569.78,87585.09
Uttarakhand,UK,2023-04-01,79.24,11091.58
West Bengal,WB,2023-04-01,233.46,43922.05
Andaman and Nicobar Islands,AN,2023-05-01,1.66,336.3
Andhra Pradesh,AP,2023-05-01,300.2,64986.38
Arunachal Pradesh,AR,2023-05-01,7.22,1332.48
Assam,AS,2023-05-01,90.18,14937.13
Bihar,BR,2023-05-01,280.34,51363.73
Chandigarh,CH,2023-05-01,18.42,2496.89
Chhattisgarh,CG,2023-05-01,80.75,11514.29
Dadra and Nagar Haveli and Daman and Diu,DN,2023-05-01,5.69,664.54
Delhi,DL,2023-05-01,387.94,55560.85
Goa,GA,2023-05-01,19.87,2965.09
Gujarat,GJ,2023-05-01,288.57,47894.81
Haryana,HR,2023-05-01,231.21,36868.32
Himachal Pradesh,HP,2023-05-01,38.5,5312.81
Jammu and Kashmir,JK,2023-05-01,32.13,5046.91
Jharkhand,JH,2023-05-01,93.45,14415.31
Karnataka,KA,2023-05-01,797.62,118039.69
