state_canonical,state_code,year,population_rural,population_urban,population_total
Andaman and Nicobar Islands,AN,2011,237093,143488,380581
Andaman and Nicobar Islands,AN,2021,228000,173000,401000
Andhra Pradesh,AP,2011,34776389,14610410,49386799
Andhra Pradesh,AP,2021,34104000,18745000,52849000
Arunachal Pradesh,AR,2011,1066358,317369,1383727
Arunachal Pradesh,AR,2021,1149000,388000,1537000
Assam,AS,2011,26807034,4398542,31205576
Assam,AS,2021,29756000,5399000,35155000
Bihar,BR,2011,92341436,11758016,104099452
Bihar,BR,2021,108670000,15025000,123695000
Chandigarh,CH,2011,28991,1026459,1055450
Chandigarh,CH,2021,3000,1209000,1212000
Chhattisgarh,CG,2011,19607961,5937237,25545198
Chhattisgarh,CG,2021,21735000,7872000,29607000
Dadra and Nagar Haveli and Daman and Diu,DN,2011,243510,343446,586956
Dadra and Nagar Haveli and Daman and Diu,DN,2021,230000,878000,1108000
Delhi,DL,2011,419042,16368899,16787941
Delhi,DL,2021,127000,20576000,20703000
Goa,GA,2011,551731,906814,1458545
Goa,GA,2021,405000,1156000,1561000
Gujarat,GJ,2011,34694609,25745083,60439692
Gujarat,GJ,2021,36506000,33569000,70075000
Haryana,HR,2011,16509359,8842103,25351462
Haryana,HR,2021,17432000,12172000,29604000
Himachal Pradesh,HP,2011,6176050,688552,6864602
Himachal Pradesh,HP,2021,6645000,761000,7406000
Jammu and Kashmir,JK,2011,9108060,3433242,12541302
Jammu and Kashmir,JK,2021,9393000,4047000,13440000
Jharkhand,JH,2011,25055073,7933061,32988134
Jharkhand,JH,2021,28634000,10003000,38637000
Karnataka,KA,2011,37469335,23625962,61095297
Karnataka,KA,2021,37773000,29213000,66986000
Kerala,KL,2011,17471135,15934926,33406061
Kerala,KL,2021,10044000,25493000,35537000
Ladakh,LA,2011,NA,NA,NA
Ladakh,LA,2021,209000,89000,298000
Lakshadweep,LD,2011,14141,50332,64473
Lakshadweep,LD,2021,2000,66000,68000
Madhya Pradesh,MP,2011,52557404,20069405,72626809
Madhya Pradesh,MP,2021,60412000,24448000,84860000
Maharashtra,MH,2011,61556074,50818259,112374333
Maharashtra,MH,2021,64782000,59980000,124762000
Manipur,MN,2011,2021640,834154,2855794
Manipur,MN,2021,2157000,1015000,3172000
Meghalaya,ML,2011,2371439,595450,2966889
Meghalaya,ML,2021,2616000,679000,3295000
Mizoram,MZ,2011,525435,571771,1097206
Mizoram,MZ,2021,553000,666000,1219000
Nagaland,NL,2011,1407536,570966,1978502
Nagaland,NL,2021,1243000,955000,2198000
Odisha,OR,2011,34970562,7003656,41974218
Odisha,OR,2021,37308000,8485000,45793000
Puducherry,PY,2011,395200,852753,1247953
Puducherry,PY,2021,476000,1108000,1584000
Punjab,PB,2011,17344192,10399146,27743338
Punjab,PB,2021,17871000,12533000,30404000
Rajasthan,RJ,2011,51500352,17048085,68548437
Rajasthan,RJ,2021,58583000,20989000,79572000
Sikkim,SK,2011,456999,153578,610577
Sikkim,SK,2021,368000,310000,678000
Tamil Nadu,TN,2011,37229590,34917440,72147030
Tamil Nadu,TN,2021,35991000,40488000,76479000
Telangana,TG,2011,21585313,13608665,35193978
Telangana,TG,2021,20257000,17514000,37771000
Tripura,TR,2011,2712464,961453,3673917
Tripura,TR,2021,2556000,1525000,4081000
Uttar Pradesh,UP,2011,155317278,44495063,199812341
Uttar Pradesh,UP,2021,176588000,55116000,231704000
Uttarakhand,UK,2011,7036954,3049338,10086292
Uttarakhand,UK,2021,7422000,4017000,11439000
West Bengal,WB,2011,62183113,29093002,91276115
West Bengal,WB,2021,62811000,35474000,98285000
