state_canonical,state_code,density_total
Andaman and Nicobar Islands,AN,49
Andhra Pradesh,AP,324
Arunachal Pradesh,AR,18
Assam,AS,448
Bihar,BR,1314
Chandigarh,CH,10632
Chhattisgarh,CG,219
Dadra and Nagar Haveli and Daman and Diu,DN,1841
Delhi,DL,13960
Goa,GA,422
Gujarat,GJ,357
Haryana,HR,670
Himachal Pradesh,HP,133
Jammu and Kashmir,JK,82
Jharkhand,JH,485
Karnataka,KA,349
Kerala,KL,915
Ladakh,LA,5
Lakshadweep,LD,2267
Madhya Pradesh,MP,275
Maharashtra,MH,405
Manipur,MN,142
Meghalaya,ML,147
Mizoram,MZ,58
Nagaland,NL,133
Odisha,OR,294
Puducherry,PY,3233
Punjab,PB,604
Rajasthan,RJ,233
Sikkim,SK,96
Tamil Nadu,TN,588
Telangana,TG,383
Tripura,TR,389
Uttar Pradesh,UP,962
Uttarakhand,UK,214
West Bengal,WB,1107
