state_canonical,state_code,area_rural_km2,area_urban_km2,area_total_km2
Andaman and Nicobar Islands,AN,8211.08,37.92,8249
Andhra Pradesh,AP,158856,4119,162975
Arunachal Pradesh,AR,NA,NA,83743
Assam,AS,77178.12,1259.88,78438
Bihar,BR,91838.28,2324.72,94163
Chandigarh,CH,0,114,114
Chhattisgarh,CG,131810.3,3381.7,135192
Dadra and Nagar Haveli and Daman and Diu,DN,501.68,100.32,602
Delhi,DL,326.44,1156.56,1483
Goa,GA,2903.14,798.86,3702
Gujarat,GJ,188840.46,7403.54,196244
Haryana,HR,42235.92,1976.08,44212
Himachal Pradesh,HP,55402.18,270.82,55673
Jammu and Kashmir,JK,161844.1,1245.9,163090
Jharkhand,JH,77467.12,2248.88,79716
Karnataka,KA,185783.46,6007.54,191791
Kerala,KL,31253.2,7598.8,38852
Ladakh,LA,59146,0,59146
Lakshadweep,LD,8.05,21.95,30
Madhya Pradesh,MP,300505.59,7746.41,308252
Maharashtra,MH,298628.75,9084.25,307713
Manipur,MN,22147.5,179.5,22327
Meghalaya,ML,22146.11,282.89,22429
Mizoram,MZ,20494,587,21081
Nagaland,NL,16335.52,243.48,16579
Odisha,OR,152355.34,3351.66,155707
Puducherry,PY,335.44,154.56,490
Punjab,PB,47847.4,2514.6,50362
Rajasthan,RJ,335606.04,6632.96,342239
Sikkim,SK,7057.75,38.25,7096
Tamil Nadu,TN,116427.97,13632.03,130060
Telangana,TG,94949,3735,98684
Tripura,TR,10094.12,391.88,10486
Uttar Pradesh,UP,233365.71,7562.29,240928
Uttarakhand,UK,52581.08,901.92,53483
West Bengal,WB,83632.59,5119.41,88752
