state_canonical,state_code,fy,per_capita_nsdp_constant_inr
Andaman and Nicobar Islands,AN,2011-12,89100
Andhra Pradesh,AP,2011-12,69000
Arunachal Pradesh,AR,2011-12,73540
Assam,AS,2011-12,41142
Bihar,BR,2011-12,21750
Chandigarh,CH,2011-12,158967
Chhattisgarh,CG,2011-12,55177
Delhi,DL,2011-12,185001
Goa,GA,2011-12,259444
Gujarat,GJ,2011-12,87481
Haryana,HR,2011-12,106085
Himachal Pradesh,HP,2011-12,87721
Jammu and Kashmir,JK,2011-12,51775
Jharkhand,JH,2011-12,41254
Karnataka,KA,2011-12,90263
Kerala,KL,2011-12,97912
Madhya Pradesh,MP,2011-12,38497
Maharashtra,MH,2011-12,99597
Manipur,MN,2011-12,39762
Meghalaya,ML,2011-12,59794
Mizoram,MZ,2011-12,57654
Nagaland,NL,2011-12,53010
Odisha,OR,2011-12,48387
Puducherry,PY,2011-12,119649
Punjab,PB,2011-12,85577
Rajasthan,RJ,2011-12,57192
Sikkim,SK,2011-12,158667
Tamil Nadu,TN,2011-12,93112
Telangana,TG,2011-12,91121
Tripura,TR,2011-12,47155
Uttar Pradesh,UP,2011-12,32648
Uttarakhand,UK,2011-12,100314
West Bengal,WB,2011-12,51543
Andaman and Nicobar Islands,AN,2012-13,92644
Andhra Pradesh,AP,2012-13,68865
Arunachal Pradesh,AR,2012-13,73960
Assam,AS,2012-13,41609
Bihar,BR,2012-13,22201
Chandigarh,CH,2012-13,169336
Chhattisgarh,CG,2012-13,56777
Delhi,DL,2012-13,192220
Goa,GA,2012-13,220019
Gujarat,GJ,2012-13,96683
Haryana,HR,2012-13,111780
Himachal Pradesh,HP,2012-13,92672
Jammu and Kashmir,JK,2012-13,52821
Jharkhand,JH,2012-13,44176
Karnataka,KA,2012-13,94375
Kerala,KL,2012-13,103551
Madhya Pradesh,MP,2012-13,41142
Maharashtra,MH,2012-13,104008
Manipur,MN,2012-13,38954
Meghalaya,ML,2012-13,60114
Mizoram,MZ,2012-13,60261
Nagaland,NL,2012-13,55482
Odisha,OR,2012-13,50769
Puducherry,PY,2012-13,119196
