state_canonical,state_code,period,literacy_rate_persons_7plus,lfpr_15plus_persons,wpr_15plus_persons,ur_15plus_persons
Andaman and Nicobar Islands,AN,2022-23,92.8,66.5,60,9.7
Andhra Pradesh,AP,2022-23,72,61.1,58.6,4.1
Arunachal Pradesh,AR,2022-23,84.1,68.2,64.9,4.8
Assam,AS,2022-23,77.5,55.4,54.5,1.7
Bihar,BR,2022-23,74.6,48.9,47,3.9
Chandigarh,CH,2022-23,92.7,47.5,45.6,4
Chhattisgarh,CG,2022-23,78.2,71.8,70.1,2.4
Dadra and Nagar Haveli and Daman and Diu,DN,2022-23,87.4,66.6,65,2.5
Delhi,DL,2022-23,88.4,46.7,45.8,1.9
Goa,GA,2022-23,95,50,45.1,9.7
Gujarat,GJ,2022-23,85.3,62.6,61.5,1.7
Haryana,HR,2022-23,83.2,47.9,44.9,6.1
Himachal Pradesh,HP,2022-23,88.1,77.1,73.8,4.3
Jammu and Kashmir,JK,2022-23,78.3,63.5,60.7,4.4
Jharkhand,JH,2022-23,79.3,61.9,60.9,1.7
Karnataka,KA,2022-23,80.8,57,55.6,2.4
Kerala,KL,2022-23,95,54.3,50.5,7
Ladakh,LA,2022-23,78.9,60.7,57,6.1
Lakshadweep,LD,2022-23,98.1,39.9,35.5,11.1
Madhya Pradesh,MP,2022-23,76.4,64.5,63.4,1.6
Maharashtra,MH,2022-23,86.9,59.4,57.6,3.1
Manipur,MN,2022-23,90.7,51.1,48.7,4.7
Meghalaya,ML,2022-23,95,70,65.8,6
Mizoram,MZ,2022-23,99.4,56.4,55.2,2.2
Nagaland,NL,2022-23,95.5,72.5,69.4,4.3
Odisha,OR,2022-23,79.3,61.3,58.9,3.9
Puducherry,PY,2022-23,91.1,52.5,49.6,5.6
Punjab,PB,2022-23,83.3,53.5,50.2,6.1
Rajasthan,RJ,2022-23,73.4,61.5,58.8,4.4
Sikkim,SK,2022-23,87.3,75.7,74,2.2
Tamil Nadu,TN,2022-23,86,57.1,54.7,4.3
Telangana,TG,2022-23,79.2,60.3,57.7,4.4
Tripura,TR,2022-23,93.2,55.1,54.3,1.4
Uttar Pradesh,UP,2022-23,76.6,55.2,53.9,2.4
Uttarakhand,UK,2022-23,86,56,53.5,4.5
West Bengal,WB,2022-23,82.9,57.3,56.1,2.2
