state_canonical,state_code,year,population
Andaman and Nicobar Islands,AN,2011,381000
Andhra Pradesh,AP,2011,49697000
Arunachal Pradesh,AR,2011,1388000
Assam,AS,2011,31336000
Bihar,BR,2011,104771000
Chandigarh,CH,2011,1061000
Chhattisgarh,CG,2011,25680000
Dadra and Nagar Haveli and Daman and Diu,DN,2011,600000
Delhi,DL,2011,16914000
Goa,GA,2011,1462000
Gujarat,GJ,2011,60754000
Haryana,HR,2011,25492000
Himachal Pradesh,HP,2011,6884000
Jammu and Kashmir,JK,2011,12309000
Jharkhand,JH,2011,33176000
Karnataka,KA,2011,61304000
Kerala,KL,2011,33484000
Ladakh,LA,2011,275000
Lakshadweep,LD,2011,65000
Madhya Pradesh,MP,2011,73039000
Maharashtra,MH,2011,112798000
Manipur,MN,2011,2864000
Meghalaya,ML,2011,2975000
Mizoram,MZ,2011,1100000
Nagaland,NL,2011,1984000
Odisha,OR,2011,42051000
Puducherry,PY,2011,1258000
Punjab,PB,2011,27836000
Rajasthan,RJ,2011,68928000
Sikkim,SK,2011,612000
Tamil Nadu,TN,2011,72313000
Telangana,TG,2011,35077000
Tripura,TR,2011,3684000
Uttar Pradesh,UP,2011,200897000
Uttarakhand,UK,2011,10131000
West Bengal,WB,2011,91530000
Andaman and Nicobar Islands,AN,2012,384000
Andhra Pradesh,AP,2012,50056000
Arunachal Pradesh,AR,2012,1403000
Assam,AS,2012,31729000
Bihar,BR,2012,106787000
Chandigarh,CH,2012,1077000
Chhattisgarh,CG,2012,26086000
Dadra and Nagar Haveli and Daman and Diu,DN,2012,639000
Delhi,DL,2012,17292000
Goa,GA,2012,1473000
Gujarat,GJ,2012,61698000
Haryana,HR,2012,25912000
Himachal Pradesh,HP,2012,6943000
Jammu and Kashmir,JK,2012,12435000
Jharkhand,JH,2012,33738000
Karnataka,KA,2012,61931000
Kerala,KL,2012,33719000
Ladakh,LA,2012,278000
Lakshadweep,LD,2012,65000
Madhya Pradesh,MP,2012,74275000
Maharashtra,MH,2012,114068000
Manipur,MN,2012,2895000
Meghalaya,ML,2012,3007000
Mizoram,MZ,2012,1112000
Nagaland,NL,2012,2005000
Odisha,OR,2012,42282000
Puducherry,PY,2012,1289000
Punjab,PB,2012,28116000
Rajasthan,RJ,2012,70066000
Sikkim,SK,2012,619000
Tamil Nadu,TN,2012,72811000
Telangana,TG,2012,35368000
Tripura,TR,2012,3724000
Uttar Pradesh,UP,2012,204152000
Uttarakhand,UK,2012,10265000
West Bengal,WB,2012,92290000
Andaman and Nicobar Islands,AN,2013,386000
Andhra Pradesh,AP,2013,50414000
Arunachal Pradesh,AR,2013,1418000
Assam,AS,2013,32121000
Bihar,BR,2013,108802000
Chandigarh,CH,2013,1093000
Chhattisgarh,CG,2013,26491000
Dadra and Nagar Haveli and Daman and Diu,DN,2013,677000
Delhi,DL,2013,17670000
Goa,GA,2013,1483000
Gujarat,GJ,2013,62642000
Haryana,HR,2013,26333000
Himachal Pradesh,HP,2013,7002000
Jammu and Kashmir,JK,2013,12561000
Jharkhand,JH,2013,34300000
Karnataka,KA,2013,62558000
Kerala,KL,2013,33953000
Ladakh,LA,2013,280000
Lakshadweep,LD,2013,65000
Madhya Pradesh,MP,2013,75510000
Maharashtra,MH,2013,115339000
Manipur,MN,2013,2926000
Meghalaya,ML,2013,3040000
Mizoram,MZ,2013,1124000
Nagaland,NL,2013,2027000
Odisha,OR,2013,42513000
Puducherry,PY,2013,1320000
Punjab,PB,2013,28395000
Rajasthan,RJ,2013,71204000
Sikkim,SK,2013,626000
Tamil Nadu,TN,2013,73308000
Telangana,TG,2013,35660000
Tripura,TR,2013,3764000
Uttar Pradesh,UP,2013,207407000
Uttarakhand,UK,2013,10398000
West Bengal,WB,2013,93051000
Andaman and Nicobar Islands,AN,2014,388000
Andhra Pradesh,AP,2014,50773000
Arunachal Pradesh,AR,2014,1433000
Assam,AS,2014,32514000
Bihar,BR,2014,110817000
Chandigarh,CH,2014,1109000
Chhattisgarh,CG,2014,26896000
Dadra and Nagar Haveli and Daman and Diu,DN,2014,717000
Delhi,DL,2014,18047000
Goa,GA,2014,1494000
Gujarat,GJ,2014,63585000
Haryana,HR,2014,26754000
Himachal Pradesh,HP,2014,7061000
Jammu and Kashmir,JK,2014,12687000
Jharkhand,JH,2014,34863000
Karnataka,KA,2014,63184000
Kerala,KL,2014,34188000
Ladakh,LA,2014,283000
Lakshadweep,LD,2014,66000
Madhya Pradesh,MP,2014,76746000
Maharashtra,MH,2014,116609000
Manipur,MN,2014,2957000
Meghalaya,ML,2014,3072000
Mizoram,MZ,2014,1136000
Nagaland,NL,2014,2049000
Odisha,OR,2014,42743000
Puducherry,PY,2014,1351000
Punjab,PB,2014,28674000
Rajasthan,RJ,2014,72343000
Sikkim,SK,2014,632000
Tamil Nadu,TN,2014,73806000
Telangana,TG,2014,35951000
Tripura,TR,2014,3804000
Uttar Pradesh,UP,2014,210662000
Uttarakhand,UK,2014,10532000
West Bengal,WB,2014,93811000
Andaman and Nicobar Islands,AN,2015,390000
Andhra Pradesh,AP,2015,51132000
Arunachal Pradesh,AR,2015,1448000
Assam,AS,2015,32906000
Bihar,BR,2015,112832000
Chandigarh,CH,2015,1125000
Chhattisgarh,CG,2015,27301000
Dadra and Nagar Haveli and Daman and Diu,DN,2015,756000
Delhi,DL,2015,18425000
Goa,GA,2015,1505000
Gujarat,GJ,2015,64529000
Haryana,HR,2015,27175000
Himachal Pradesh,HP,2015,7119000
Jammu and Kashmir,JK,2015,12813000
Jharkhand,JH,2015,35425000
Karnataka,KA,2015,63811000
Kerala,KL,2015,34422000
Ladakh,LA,2015,286000
Lakshadweep,LD,2015,66000
Madhya Pradesh,MP,2015,77982000
Maharashtra,MH,2015,117880000
Manipur,MN,2015,2988000
Meghalaya,ML,2015,3105000
Mizoram,MZ,2015,1148000
Nagaland,NL,2015,2070000
Odisha,OR,2015,42974000
Puducherry,PY,2015,1381000
Punjab,PB,2015,28954000
Rajasthan,RJ,2015,73481000
Sikkim,SK,2015,639000
Tamil Nadu,TN,2015,74303000
Telangana,TG,2015,36243000
Tripura,TR,2015,3844000
Uttar Pradesh,UP,2015,213917000
Uttarakhand,UK,2015,10666000
West Bengal,WB,2015,94572000
Andaman and Nicobar Islands,AN,2016,392000
Andhra Pradesh,AP,2016,51466000
Arunachal Pradesh,AR,2016,1463000
Assam,AS,2016,33293000
Bihar,BR,2016,114770000
Chandigarh,CH,2016,1141000
Chhattisgarh,CG,2016,27700000
Dadra and Nagar Haveli and Daman and Diu,DN,2016,802000
Delhi,DL,2016,18803000
Goa,GA,2016,1515000
Gujarat,GJ,2016,65467000
Haryana,HR,2016,27590000
Himachal Pradesh,HP,2016,7174000
Jammu and Kashmir,JK,2016,12931000
Jharkhand,JH,2016,35978000
Karnataka,KA,2016,64403000
Kerala,KL,2016,34639000
Ladakh,LA,2016,288000
Lakshadweep,LD,2016,67000
Madhya Pradesh,MP,2016,79187000
Maharashtra,MH,2016,119107000
Manipur,MN,2016,3019000
Meghalaya,ML,2016,3137000
Mizoram,MZ,2016,1160000
Nagaland,NL,2016,2092000
Odisha,OR,2016,43188000
Puducherry,PY,2016,1413000
Punjab,PB,2016,29220000
Rajasthan,RJ,2016,74576000
Sikkim,SK,2016,646000
Tamil Nadu,TN,2016,74753000
Telangana,TG,2016,36525000
Tripura,TR,2016,3884000
Uttar Pradesh,UP,2016,217075000
Uttarakhand,UK,2016,10798000
West Bengal,WB,2016,95282000
Andaman and Nicobar Islands,AN,2017,394000
Andhra Pradesh,AP,2017,51749000
Arunachal Pradesh,AR,2017,1478000
Assam,AS,2017,33668000
Bihar,BR,2017,116551000
Chandigarh,CH,2017,1155000
Chhattisgarh,CG,2017,28084000
Dadra and Nagar Haveli and Daman and Diu,DN,2017,861000
Delhi,DL,2017,19182000
Goa,GA,2017,1524000
Gujarat,GJ,2017,66393000
Haryana,HR,2017,27996000
Himachal Pradesh,HP,2017,7221000
Jammu and Kashmir,JK,2017,13033000
Jharkhand,JH,2017,36512000
Karnataka,KA,2017,64926000
Kerala,KL,2017,34821000
Ladakh,LA,2017,290000
Lakshadweep,LD,2017,67000
Madhya Pradesh,MP,2017,80329000
Maharashtra,MH,2017,120249000
Manipur,MN,2017,3050000
Meghalaya,ML,2017,3169000
Mizoram,MZ,2017,1172000
Nagaland,NL,2017,2113000
Odisha,OR,2017,43369000
Puducherry,PY,2017,1447000
Punjab,PB,2017,29460000
Rajasthan,RJ,2017,75584000
Sikkim,SK,2017,652000
Tamil Nadu,TN,2017,75106000
Telangana,TG,2017,36778000
Tripura,TR,2017,3924000
Uttar Pradesh,UP,2017,220039000
Uttarakhand,UK,2017,10927000
West Bengal,WB,2017,95891000
Andaman and Nicobar Islands,AN,2018,396000
Andhra Pradesh,AP,2018,52032000
Arunachal Pradesh,AR,2018,1493000
Assam,AS,2018,34043000
Bihar,BR,2018,118333000
Chandigarh,CH,2018,1170000
Chhattisgarh,CG,2018,28468000
Dadra and Nagar Haveli and Daman and Diu,DN,2018,920000
Delhi,DL,2018,19561000
Goa,GA,2018,1534000
Gujarat,GJ,2018,67319000
Haryana,HR,2018,28401000
Himachal Pradesh,HP,2018,7268000
Jammu and Kashmir,JK,2018,13135000
Jharkhand,JH,2018,37047000
Karnataka,KA,2018,65450000
Kerala,KL,2018,35003000
Ladakh,LA,2018,292000
Lakshadweep,LD,2018,67000
Madhya Pradesh,MP,2018,81471000
Maharashtra,MH,2018,121391000
Manipur,MN,2018,3080000
Meghalaya,ML,2018,3200000
Mizoram,MZ,2018,1184000
Nagaland,NL,2018,2134000
Odisha,OR,2018,43550000
Puducherry,PY,2018,1481000
Punjab,PB,2018,29699000
Rajasthan,RJ,2018,76592000
Sikkim,SK,2018,659000
Tamil Nadu,TN,2018,75460000
Telangana,TG,2018,37030000
Tripura,TR,2018,3963000
Uttar Pradesh,UP,2018,223003000
Uttarakhand,UK,2018,11055000
West Bengal,WB,2018,96500000
Andaman and Nicobar Islands,AN,2019,398000
Andhra Pradesh,AP,2019,52315000
Arunachal Pradesh,AR,2019,1507000
Assam,AS,2019,34418000
Bihar,BR,2019,120114000
Chandigarh,CH,2019,1184000
Chhattisgarh,CG,2019,28852000
Dadra and Nagar Haveli and Daman and Diu,DN,2019,979000
Delhi,DL,2019,19940000
Goa,GA,2019,1543000
Gujarat,GJ,2019,68245000
Haryana,HR,2019,28807000
Himachal Pradesh,HP,2019,7315000
Jammu and Kashmir,JK,2019,13237000
Jharkhand,JH,2019,37581000
Karnataka,KA,2019,65973000
Kerala,KL,2019,35186000
Ladakh,LA,2019,294000
Lakshadweep,LD,2019,68000
Madhya Pradesh,MP,2019,82613000
Maharashtra,MH,2019,122533000
Manipur,MN,2019,3111000
Meghalaya,ML,2019,3232000
Mizoram,MZ,2019,1195000
Nagaland,NL,2019,2155000
Odisha,OR,2019,43732000
Puducherry,PY,2019,1515000
Punjab,PB,2019,29939000
