state_canonical,state_code,offices_2025_03
Andaman and Nicobar Islands,AN,79
Andhra Pradesh,AP,8493
Arunachal Pradesh,AR,246
Assam,AS,3353
Bihar,BR,8465
Chandigarh,CH,501
Chhattisgarh,CG,3315
Dadra and Nagar Haveli and Daman and Diu,DN,114
Delhi,DL,4122
Goa,GA,722
Gujarat,GJ,9865
Haryana,HR,5838
Himachal Pradesh,HP,1894
Jammu and Kashmir,JK,2030
Jharkhand,JH,3635
Karnataka,KA,11882
Kerala,KL,7619
Ladakh,LA,105
Lakshadweep,LD,27
Madhya Pradesh,MP,8287
Maharashtra,MH,15432
Manipur,MN,274
Meghalaya,ML,409
Mizoram,MZ,250
Nagaland,NL,245
Odisha,OR,6131
Puducherry,PY,304
Punjab,PB,7141
Rajasthan,RJ,9112
Sikkim,SK,188
Tamil Nadu,TN,13710
Telangana,TG,6576
Tripura,TR,664
Uttar Pradesh,UP,20061
Uttarakhand,UK,2441
West Bengal,WB,10446
