state_canonical,state_code,snapshot_date,offices
Andaman and Nicobar Islands,AN,2020-03-31,74
Andaman and Nicobar Islands,AN,2021-03-31,75
Andaman and Nicobar Islands,AN,2024-03-31,78
Andaman and Nicobar Islands,AN,2025-03-31,79
Andaman and Nicobar Islands,AN,2025-12-31,80
Andhra Pradesh,AP,2020-03-31,7505
Andhra Pradesh,AP,2021-03-31,7741
Andhra Pradesh,AP,2024-03-31,8272
Andhra Pradesh,AP,2025-03-31,8493
Andhra Pradesh,AP,2025-12-31,8629
Arunachal Pradesh,AR,2020-03-31,184
Arunachal Pradesh,AR,2021-03-31,191
Arunachal Pradesh,AR,2024-03-31,224
Arunachal Pradesh,AR,2025-03-31,246
Arunachal Pradesh,AR,2025-12-31,257
Assam,AS,2020-03-31,3042
Assam,AS,2021-03-31,3147
Assam,AS,2024-03-31,3312
Assam,AS,2025-03-31,3353
Assam,AS,2025-12-31,3393
Bihar,BR,2020-03-31,7662
Bihar,BR,2021-03-31,7835
Bihar,BR,2024-03-31,8245
Bihar,BR,2025-03-31,8465
Bihar,BR,2025-12-31,8578
Chandigarh,CH,2020-03-31,484
Chandigarh,CH,2021-03-31,478
Chandigarh,CH,2024-03-31,495
Chandigarh,CH,2025-03-31,501
Chandigarh,CH,2025-12-31,498
Chhattisgarh,CG,2020-03-31,2930
Chhattisgarh,CG,2021-03-31,2967
Chhattisgarh,CG,2024-03-31,3227
Chhattisgarh,CG,2025-03-31,3315
Chhattisgarh,CG,2025-12-31,3370
Dadra and Nagar Haveli and Daman and Diu,DN,2020-03-31,113
Dadra and Nagar Haveli and Daman and Diu,DN,2021-03-31,107
Dadra and Nagar Haveli and Daman and Diu,DN,2024-03-31,109
Dadra and Nagar Haveli and Daman and Diu,DN,2025-03-31,114
Dadra and Nagar Haveli and Daman and Diu,DN,2025-12-31,114
Delhi,DL,2020-03-31,3969
Delhi,DL,2021-03-31,3869
Delhi,DL,2024-03-31,4042
Delhi,DL,2025-03-31,4122
Delhi,DL,2025-12-31,4184
Goa,GA,2020-03-31,718
Goa,GA,2021-03-31,707
Goa,GA,2024-03-31,701
Goa,GA,2025-03-31,722
Goa,GA,2025-12-31,738
Gujarat,GJ,2020-03-31,8918
Gujarat,GJ,2021-03-31,8894
Gujarat,GJ,2024-03-31,9582
Gujarat,GJ,2025-03-31,9865
Gujarat,GJ,2025-12-31,10097
Haryana,HR,2020-03-31,5353
Haryana,HR,2021-03-31,5348
Haryana,HR,2024-03-31,5681
Haryana,HR,2025-03-31,5838
Haryana,HR,2025-12-31,6010
Himachal Pradesh,HP,2020-03-31,1691
Himachal Pradesh,HP,2021-03-31,1741
Himachal Pradesh,HP,2024-03-31,1843
Himachal Pradesh,HP,2025-03-31,1894
Himachal Pradesh,HP,2025-12-31,1903
Jammu and Kashmir,JK,2020-03-31,1806
Jammu and Kashmir,JK,2021-03-31,1832
Jammu and Kashmir,JK,2024-03-31,1977
Jammu and Kashmir,JK,2025-03-31,2030
Jammu and Kashmir,JK,2025-12-31,2053
Jharkhand,JH,2020-03-31,3256
Jharkhand,JH,2021-03-31,3320
Jharkhand,JH,2024-03-31,3520
Jharkhand,JH,2025-03-31,3635
Jharkhand,JH,2025-12-31,3686
Karnataka,KA,2020-03-31,11120
Karnataka,KA,2021-03-31,11210
Karnataka,KA,2024-03-31,11630
Karnataka,KA,2025-03-31,11882
Karnataka,KA,2025-12-31,12089
Kerala,KL,2020-03-31,6975
Kerala,KL,2021-03-31,7039
Kerala,KL,2024-03-31,7372
Kerala,KL,2025-03-31,7619
Kerala,KL,2025-12-31,7706
