state_canonical,state_code,fy,transactions_total_5rail
Andaman and Nicobar Islands,AN,2019-20,2072586
Andaman and Nicobar Islands,AN,2020-21,3680882
Andhra Pradesh,AP,2019-20,1223218907
Andhra Pradesh,AP,2020-21,2148252273
Arunachal Pradesh,AR,2019-20,7060278
Arunachal Pradesh,AR,2020-21,16136999
Assam,AS,2019-20,105106727
Assam,AS,2020-21,202800298
Bihar,BR,2019-20,415865569
Bihar,BR,2020-21,780605447
Chandigarh,CH,2019-20,40174757
Chandigarh,CH,2020-21,68717479
Chhattisgarh,CG,2019-20,129118832
Chhattisgarh,CG,2020-21,241487411
Dadra and Nagar Haveli and Daman and Diu,DN,2019-20,5557978
Dadra and Nagar Haveli and Daman and Diu,DN,2020-21,9166676
Delhi,DL,2019-20,540325595
Delhi,DL,2020-21,871384998
Goa,GA,2019-20,27281296
Goa,GA,2020-21,50848102
Gujarat,GJ,2019-20,530715483
Gujarat,GJ,2020-21,1004509583
Haryana,HR,2019-20,714581183
Haryana,HR,2020-21,1030408720
Himachal Pradesh,HP,2019-20,67810331
Himachal Pradesh,HP,2020-21,133001700
Jammu and Kashmir,JK,2019-20,26808792
Jammu and Kashmir,JK,2020-21,58028828
Jharkhand,JH,2019-20,178242382
Jharkhand,JH,2020-21,325770411
Karnataka,KA,2019-20,1662228172
Karnataka,KA,2020-21,2803646479
Kerala,KL,2019-20,390143264
Kerala,KL,2020-21,740602556
Lakshadweep,LD,2019-20,491931
Lakshadweep,LD,2020-21,612988
Madhya Pradesh,MP,2019-20,503343999
Madhya Pradesh,MP,2020-21,882959681
Maharashtra,MH,2019-20,2379792821
Maharashtra,MH,2020-21,4037787225
Manipur,MN,2019-20,10379267
Manipur,MN,2020-21,24856871
Meghalaya,ML,2019-20,6882421
Meghalaya,ML,2020-21,16243826
Mizoram,MZ,2019-20,3981097
Mizoram,MZ,2020-21,10932068
Nagaland,NL,2019-20,7049580
Nagaland,NL,2020-21,16972407
Odisha,OR,2019-20,356827818
Odisha,OR,2020-21,583753268
Puducherry,PY,2019-20,19351521
Puducherry,PY,2020-21,34301033
Punjab,PB,2019-20,203699211
Punjab,PB,2020-21,360041528
Rajasthan,RJ,2019-20,613696426
Rajasthan,RJ,2020-21,1176996594
Sikkim,SK,2019-20,5471379
Sikkim,SK,2020-21,10958593
Tamil Nadu,TN,2019-20,1029529521
Tamil Nadu,TN,2020-21,1724506315
Telangana,TG,2019-20,1382781430
Telangana,TG,2020-21,2130135712
Tripura,TR,2019-20,14358668
Tripura,TR,2020-21,26635594
Uttar Pradesh,UP,2019-20,2456255620
Uttar Pradesh,UP,2020-21,3254414352
Uttarakhand,UK,2019-20,120479287
Uttarakhand,UK,2020-21,224130092
West Bengal,WB,2019-20,523000843
West Bengal,WB,2020-21,841857285
