state_canonical,state_code,year_end,internet_subs_total_million,internet_density_total
Andaman and Nicobar Islands,AN,2024-03,0.41,102.02
Andhra Pradesh,AP,2024-03,35.61,66.74
Arunachal Pradesh,AR,2024-03,0.89,56.59
Assam,AS,2024-03,19.77,54.8
Bihar,BR,2024-03,54.21,42.1
Chandigarh,CH,2024-03,1.32,106.4
Chhattisgarh,CG,2024-03,17.23,56.39
Dadra and Nagar Haveli and Daman and Diu,DN,2024-03,0.84,61.25
Delhi,DL,2024-03,35.18,161.48
Goa,GA,2024-03,2.41,152.48
Gujarat,GJ,2024-03,55.58,76.73
Haryana,HR,2024-03,29.67,96.97
Himachal Pradesh,HP,2024-03,6.6,87.96
Jammu and Kashmir,JK,2024-03,9.55,69.63
Jharkhand,JH,2024-03,19.62,49.04
Karnataka,KA,2024-03,57.88,84.93
Kerala,KL,2024-03,33.68,93.74
Ladakh,LA,2024-03,0.32,107.46
Lakshadweep,LD,2024-03,0.06,85.68
Madhya Pradesh,MP,2024-03,48.67,55.5
Maharashtra,MH,2024-03,109.75,86.12
Manipur,MN,2024-03,2.25,69.21
Meghalaya,ML,2024-03,2.07,61.28
Mizoram,MZ,2024-03,1.24,99.44
Nagaland,NL,2024-03,1.66,73.69
Odisha,OR,2024-03,24.55,55.26
Puducherry,PY,2024-03,1.25,74.07
Punjab,PB,2024-03,27.47,88.79
Rajasthan,RJ,2024-03,52.48,64.02
Sikkim,SK,2024-03,0.6,85.79
Tamil Nadu,TN,2024-03,61.23,79.41
Telangana,TG,2024-03,35.59,92.96
Tripura,TR,2024-03,2.18,52.08
Uttar Pradesh,UP,2024-03,129.53,54.36
Uttarakhand,UK,2024-03,9.84,83.67
West Bengal,WB,2024-03,63.18,63.44
Andaman and Nicobar Islands,AN,2025-03,0.43,107.25
Andhra Pradesh,AP,2025-03,36.47,68.11
Arunachal Pradesh,AR,2025-03,0.93,58.33
Assam,AS,2025-03,20.33,55.84
Bihar,BR,2025-03,54.37,41.63
Chandigarh,CH,2025-03,1.39,110.73
Chhattisgarh,CG,2025-03,17.51,56.67
Dadra and Nagar Haveli and Daman and Diu,DN,2025-03,0.84,57.87
Delhi,DL,2025-03,35.88,161.76
Goa,GA,2025-03,2.41,151.38
Gujarat,GJ,2025-03,55.86,76.21
Haryana,HR,2025-03,30.14,97.32
Himachal Pradesh,HP,2025-03,6.67,88.45
Jammu and Kashmir,JK,2025-03,9.92,71.85
Jharkhand,JH,2025-03,19.37,47.82
Karnataka,KA,2025-03,60.3,87.94
Kerala,KL,2025-03,36.06,99.97
Ladakh,LA,2025-03,0.43,139.93
Lakshadweep,LD,2025-03,0.05,75.9
Madhya Pradesh,MP,2025-03,49.5,55.78
Maharashtra,MH,2025-03,109.46,85.24
Manipur,MN,2025-03,2.3,70.01
Meghalaya,ML,2025-03,2.08,61.08
Mizoram,MZ,2025-03,1.24,98.31
Nagaland,NL,2025-03,1.66,72.9
Odisha,OR,2025-03,25.89,58.09
Puducherry,PY,2025-03,1.15,66.69
Punjab,PB,2025-03,27.19,87.31
Rajasthan,RJ,2025-03,52.04,62.82
Sikkim,SK,2025-03,0.64,91.25
Tamil Nadu,TN,2025-03,63.48,82.09
Telangana,TG,2025-03,36.19,94.07
Tripura,TR,2025-03,2.19,51.91
Uttar Pradesh,UP,2025-03,131.14,54.49
Uttarakhand,UK,2025-03,9.86,82.97
West Bengal,WB,2025-03,63.75,63.69
