state_canonical,state_code,fy,population,transactions_total_5rail,per_capita_5rail,per_capita_nsdp,literacy,share_urban,pmjdy_per_adult,bank_offices_per_100k
Andaman and Nicobar Islands,AN,2019-20,398500,2072586,5.200968632371393,161564,86.8,0.4232617620515518,0.15399942984196432,18.569636135508155
Andaman and Nicobar Islands,AN,2020-21,400000,3680882,9.202205,146995,90.5,0.4287015516065439,0.14672734686609684,18.75
Andhra Pradesh,AP,2019-20,52457000,1223218907,23.318506719789543,110587,68.9,0.3458617614769405,0.2412042607519333,14.306956173627924
Andhra Pradesh,AP,2020-21,52724000,2148252273,40.74524453759199,110971,69.8,0.35174710484774124,0.2647565521874058,14.682118200440026
Arunachal Pradesh,AR,2019-20,1514500,7060278,4.66178804886101,113081,83.7,0.24897756062567275,0.28543519490470687,12.149224166391548
Arunachal Pradesh,AR,2020-21,1529500,16136999,10.550506047728016,105892,85.1,0.2512857320931813,0.31163799288232696,12.487741091860084
Assam,AS,2019-20,34605500,105106727,3.0372838710609584,61519,87.9,0.15168352155545517,0.5983369929768955,8.790510179017785
Assam,AS,2020-21,34974000,202800298,5.798601761308401,62944,89.4,0.1529458512329401,0.6901689994846326,8.99811288385658
Bihar,BR,2019-20,121004500,415865569,3.4367777148783722,29798,72.3,0.12019038351640464,0.5169563873255124,6.3319959175072
Bihar,BR,2020-21,122795000,780605447,6.356980715827191,26839,74.1,0.12104221267111759,0.5816352502022477,6.380552954110509
Chandigarh,CH,2019-20,1191000,40174757,33.731953820319056,239373,89,0.9937758539011796,0.2669925167717457,40.63811922753988
Chandigarh,CH,2020-21,1205000,68717479,57.026953526970956,209158,89.9,0.9962751196172249,0.2763740709271343,39.66804979253112
Chhattisgarh,CG,2019-20,29044500,129118832,4.445551894506705,76827,78.4,0.2608637376218128,0.6393486400322017,10.087968462187334
Chhattisgarh,CG,2020-21,29422000,241487411,8.20771568894025,74489,77.5,0.26420995800282604,0.6637030703401595,10.084290666847936
Dadra and Nagar Haveli and Daman and Diu,DN,2019-20,1008500,5557978,5.511133366385721,NA,86.90815887391899,0.761325568029466,0.22602287101691698,11.204759543877046
Dadra and Nagar Haveli and Daman and Diu,DN,2020-21,1073000,9166676,8.543034482758621,NA,86.1,0.78205437105194,0.2452899064065677,9.972041006523765
Delhi,DL,2019-20,20129500,540325595,26.84247472614819,260559,86.9,0.9910416458796582,0.28120007400101493,19.71733028639559
Delhi,DL,2020-21,20511000,871384998,42.48378908878163,228162,86,0.9929242975196277,0.29293493610526855,18.863049095607238
Goa,GA,2019-20,1548000,27281296,17.62357622739018,313973,89.6,0.7227270508577641,0.13453869169046648,46.382428940568474
Goa,GA,2020-21,1557000,50848102,32.657740526653825,295023,92.7,0.7346096362137453,0.13820470334754537,45.40783558124598
Gujarat,GJ,2019-20,68708000,530715483,7.724216728765209,164060,84.4,0.4710817753231245,0.26813038731594085,12.979565698317518
Gujarat,GJ,2020-21,69623000,1004509583,14.427841130086321,156285,84.7,0.4763898461446924,0.290912687794143,12.774514169168235
Haryana,HR,2019-20,29010000,714581183,24.63223657359531,170765,79.5,0.40180367470208145,0.33546849860046396,18.452257842123405
Haryana,HR,2020-21,29408500,1030408720,35.037785674209836,151979,81.1,0.408041660877814,0.3540997210516155,18.18521855926008
Himachal Pradesh,HP,2019-20,7338500,67810331,9.240353069428357,140999,86.6,0.10238705325930182,0.21575754041165982,23.04285616951693
Himachal Pradesh,HP,2020-21,7384000,133001700,18.012147887323945,132015,87.5,0.10263203332605947,0.2564881266701303,23.57800650054171
Jammu and Kashmir,JK,2019-20,13288500,26808792,2.017443052263235,68437,78.4,0.2970118852503028,0.22930874866456372,13.590698724461
Jammu and Kashmir,JK,2020-21,13390000,58028828,4.3337436893203884,65539,80.3,0.2997480093691486,0.24545770233910677,13.681852128454072
Jharkhand,JH,2019-20,37848000,178242382,4.709426706827309,55658,72.8,0.256134714363641,0.4738946720837021,8.60283238216022
Jharkhand,JH,2020-21,38376000,325770411,8.48891002188868,51464,73.1,0.25797617964531405,0.5555506605563888,8.651240358557432
Karnataka,KA,2019-20,66234500,1662228172,25.096108100763196,156478,81,0.4286961524294777,0.27674679280327774,16.78883361390212
Karnataka,KA,2020-21,66741000,2803646479,42.00785842285851,149578,81.2,0.43363608548373783,0.2816668963297209,16.796272156545452
Kerala,KL,2019-20,35277000,390143264,11.059422966805567,147951,94,0.6813113046425945,0.14878908230996932,19.772089463389744
Kerala,KL,2020-21,35452500,740602556,20.88999523305832,132531,94.4,0.7053471014537326,0.16602964681076265,19.854735209082573
